search_term,area,date,search_intensity
excel,China,2017-12-04,30925
excel,China,2017-12-05,30392
excel,China,2017-12-06,29467
excel,China,2017-12-07,29141
excel,China,2017-12-08,25811
excel,China,2017-12-09,15366
excel,China,2017-12-10,13357
excel,China,2017-12-11,26527
excel,China,2017-12-12,27241
excel,China,2017-12-13,28410
excel,China,2017-12-14,29097
excel,China,2017-12-15,26249
excel,China,2017-12-16,14249
excel,China,2017-12-17,13591
excel,China,2017-12-18,27822
excel,China,2017-12-19,27928
excel,China,2017-12-20,27978
excel,China,2017-12-21,27143
excel,China,2017-12-22,23643
excel,China,2017-12-23,14581
excel,China,2017-12-24,12489
excel,China,2017-12-25,26057
excel,China,2017-12-26,28396
excel,China,2017-12-27,29448
excel,China,2017-12-28,29082
excel,China,2017-12-29,24610
excel,China,2017-12-30,13502
excel,China,2017-12-31,10655
excel,China,2018-01-01,11143
excel,China,2018-01-02,31462
excel,China,2018-01-03,32786
excel,China,2018-01-04,31412
excel,China,2018-01-05,29842
excel,China,2018-01-06,17682
excel,China,2018-01-07,14795
excel,China,2018-01-08,29171
excel,China,2018-01-09,27978
excel,China,2018-01-10,26925
excel,China,2018-01-11,26632
excel,China,2018-01-12,24506
excel,China,2018-01-13,14341
excel,China,2018-01-14,12437
excel,China,2018-01-15,25562
excel,China,2018-01-16,25672
excel,China,2018-01-17,25792
excel,China,2018-01-18,25874
excel,China,2018-01-19,23884
excel,China,2018-01-20,14323
excel,China,2018-01-21,12057
excel,China,2018-01-22,24498
excel,China,2018-01-23,24363
excel,China,2018-01-24,23839
excel,China,2018-01-25,23109
excel,China,2018-01-26,21163
excel,China,2018-01-27,12335
excel,China,2018-01-28,10474
excel,China,2018-01-29,21605
excel,China,2018-01-30,21744
excel,China,2018-01-31,21946
excel,China,2018-02-01,23080
excel,China,2018-02-02,21414
excel,China,2018-02-03,12788
excel,China,2018-02-04,10910
excel,China,2018-02-05,21202
excel,China,2018-02-06,20322
excel,China,2018-02-07,18360
excel,China,2018-02-08,17411
excel,China,2018-02-09,15567
excel,China,2018-02-10,9589
excel,China,2018-02-11,12303
excel,China,2018-02-12,11308
excel,China,2018-02-13,8373
excel,China,2018-02-14,5421
excel,China,2018-02-15,2795
excel,China,2018-02-16,2735
excel,China,2018-02-17,3023
excel,China,2018-02-18,3409
excel,China,2018-02-19,4036
excel,China,2018-02-20,4816
excel,China,2018-02-21,5914
excel,China,2018-02-22,12496
excel,China,2018-02-23,15958
excel,China,2018-02-24,17213
excel,China,2018-02-25,12489
excel,China,2018-02-26,23480
excel,China,2018-02-27,23878
excel,China,2018-02-28,25580
excel,China,2018-03-01,25727
excel,China,2018-03-02,22630
excel,China,2018-03-03,14851
excel,China,2018-03-04,14837
excel,China,2018-03-05,29056
excel,China,2018-03-06,29806
excel,China,2018-03-07,29636
excel,China,2018-03-08,26699
excel,China,2018-03-09,26479
excel,China,2018-03-10,17146
excel,China,2018-03-11,15337
excel,China,2018-03-12,30935
excel,China,2018-03-13,30213
excel,China,2018-03-14,29434
excel,China,2018-03-15,30624
excel,China,2018-03-16,28312
excel,China,2018-03-17,17530
excel,China,2018-03-18,15885
excel,China,2018-03-19,31622
excel,China,2018-03-20,31118
excel,China,2018-03-21,31130
excel,China,2018-03-22,30619
excel,China,2018-03-23,28375
excel,China,2018-03-24,20358
excel,China,2018-03-25,16799
excel,China,2018-03-26,30194
excel,China,2018-03-27,29452
